Nombre Comercial,NombreFiscal,CALLE,NUMERO EXTERIOR,NUMERO INTERIOR,COLONIA,C.P.,ENTIDAD,MUNICIPIO Y/O DELEGACION,NO. DE TELEFONO,NO. DE TELEFONO2,CONTACTO
"GSM SEGURIDAD PRIVADA MEXICO, S.A DE C.V.","GSM SEGURIDAD PRIVADA MEXICO, S.A DE C.V.",NORTE 35,695,,COLTONGO,2630,CIUDAD DE MEXICO,AZCAPOTZALCO,5557703077,,LIC.ABRAHA BARRERA
GT RASTREO SATELITAL S.A DE C.V.,GT RASTREO SATELITAL S.A DE C.V.,CUITLAHUAC,313,201,LA ROMANA,54030,ESTADO DE MEXICO,TLALNEPANTLA,5550847277,,
GUARDIAS BARI S.A DE C.V.,GUARDIAS BARI S.A DE C.V.,ROUSSEAU,67,,ANZURES,11590,CIUDAD DE MEXICO,MIGUEL HIDALGO,5537086634,,
GUARDIAS BARI S.A DE C.V. (MATRIZ),GUARDIAS BARI S.A DE C.V.,CALLE 27,174,,BUENAVISTA,97127,YUCATAN,MERIDA,9991310251,,
HOTEL FOUR SEASONS (INMOBILIARIA NACIONAL MEXICANA S.A DE C.V.),INMOBILIARIA NACIONAL MEXICANA S.A. DE C.V.,HAMBURGO,325,,JUÁREZ,6600,CIUDAD DE MEXICO,CUAUHTEMOC,5555260427,5552555230,
HR MC HOTEL SERVICES S. DE R.L. DE C.V.,HR MC HOTEL SERVICES S. DE R.L. DE C.V.,,,,,,CIUDAD DE MEXICO,CIUDAD DE MEXICO,,,
ICIT IT S.A. DE C.V.,ICIT IT S.A. DE C.V.,DIEGO ARENAS GUZMAN,254,2,VILLA DE CORTES,3530,CIUDAD DE MEXICO,BENITO JUAREZ,5552644792,,
"IKUSI MEXICO, SA. DE C.V.","IKUSI MEXICO, SA. DE C.V.",INSURGENTES SUR,1889,PISO 18,FLORIDA,1030,CIUDAD DE MEXICO,ALVARO OBREGON,5556638600,5538636553,
"INTERNACIONAL TRACK DE MEXICO, S.A DE C.V.","INTERNACIONAL TRACK DE MEXICO, S.A DE C.V.",NEVADO DE COLIMA,206,P 2 OFC 1,URDIALES,64430,NUEVO LEON,MONTERREY,8180485000,,
INTERNATIONAL POLYGRAPH STUDIES S. DE R.L. DE C.V.,INTERNATIONAL POLYGRAPH STUDIES S. DE R.L. DE C.V.,INSURGENTES SUR,1877,7020,GUADALUPE INN,1020,CIUDAD DE MEXICO,ALVARO OBREGON,,5555111999,
"JEDISAM CONSULTORES, S.C.","JEDISAM CONSULTORES, S.C.",NEWTON,285,C,POLANCO V SECCION,11560,CIUDAD DE MEXICO,MIGUEL HIDALGO,5572588556,,
